Name,vram,price
PNY RTX4070 GEFORCE TI 12GB GDDR6X VERTO LED TRIPLE FAN WHITE,6,29900
MSI GEFORCE RTX 4060 TI GAMING X 8G - 8GB GDDR6,6,15900
COLORFUL IGAME GEFORCE RTX 4070 ULTRA W OC V2-V,6,24080
COLORFUL IGAME GEFORCE RTX 4070 VULCAN OC-V,6,20080
ZOTAC GAMING GEFORCE RTX 4070 TWIN EDGE OC SPIDER-MAN ACROSS THE SPIDER-VERSE BUNDLE - 12GB GDDR6X,6,22200
COLORFUL GEFORCE RTX 4080 16GB NB EX-V,6,44990
GIGABYTE GEFORCE RTX 4060 GAMING OC 8G - 8GB GDDR6,6,11500
GALAX GEFORCE RTX 4060 EX 1-CLICK OC - 8GB GDDR6,6,11500
COLORFUL GEFORCE RTX 4060 Ti NB DUO 8GB-V,6,16480
COLORFUL GEFORCE RTX 4060 Ti NB EX 8GB-V,6,16380
COLORFUL IGAME GEFORCE RTX 4060 Ti Ultra W DUO OC 8GB-V,6,16980
COLORFUL IGAME GEFORCE RTX 4070 Neptune OC-V,6,28580
COLORFUL GEFORCE RTX 4070 TI NB EX-V 12GD6X,6,29690
COLORFUL BATTLE-AX GEFORCE RTX 4060 NB DUO 8GB-V,6,11199
ASUS DUAL GEFORCE RTX 4060 OC EDITION 8GB GDDR6 ,6,11400
GALAX GEFORCE RTX 4060 1-CLICK OC 2X - 8GB GDDR6,6,10900
GIGABYTE AORUS GEFORCE RTX 4060 ELITE 8G - 8GB GDDR6,6,13300
GIGABYTE GEFORCE RTX 4060 AERO OC 8G - 8GB GDDR6,6,11800
GIGABYTE GEFORCE RTX 4060 EAGLE OC 8G - 8GB GDDR6,6,11200
PNY GEFORCE RTX 4060 8GB VERTO DUAL FAN DLSS 3 - 8GB GDDR6,6,10750
MSI GEFORCE RTX 4060 GAMING X 8G - 8GB GDDR6,6,11800
ASUS DUAL GEFORCE RTX 4060 TI WHITE OC EDITION 8GB GDDR6,6,15200
ASUS ROG STRIX GEFORCE RTX 4070 12GB GDDR6X OC EDITION,6,26900
ASUS DUAL GEFORCE RTX 4070 WHITE OC EDITION 12GB GDDR6X,6,22800
MSI GEFORCE RTX 4060 VENTUS 2X BLACK 8G OC - 8GB GDDR6,6,11200
INNO3D GEFORCE RTX 4060 TWIN X2 - 8GB GDDR6,6,10800
INNO3D GEFORCE RTX 4060 TI 8GB TWIN X2 OC WHITE - 8GB GDDR6,6,15350
INNO3D GEFORCE RTX 4060 TWIN X2 OC WHITE - 8GB GDDR6,6,11400
GALAX GEFORCE RTX 4060 EX WHITE 1-CLICK OC - 8GB GDDR6,6,11750
ASUS ROG STRIX GEFORCE RTX 4060 OC EDITION 8GB GDDR6,6,13900
MSI GEFORCE RTX 4060 TI GAMING X 16G - 16GB GDDR6,6,18500
MSI GEFORCE RTX 4060 TI VENTUS 3X 16G OC - 16GB GDDR6,6,17900
GALAX GEFORCE RTX 4060 TI 16GB EX 1-CLICK OC - 16GB GDDR6,6,18200
GIGABYTE GEFORCE RTX 4060 TI AERO OC 16G - 16GB GDDR6,6,18600
COLORFUL GEFORCE RTX 4090 NB EX-V,6,62380
GIGABYTE GEFORCE RTX 4060 TI WINDFORCE OC 8G - 8GB GDDR6 ,6,14400
GALAX GEFORCE RTX 4070 1-CLICK OC 3X - 12GB GDDR6X,6,21900
ASUS ROG STRIX GEFORCE RTX 4060 TI 8GB GDDR6 OC EDITION,6,17700
GALAX GEFORCE RTX 4060 TI 8GB EX WHITE 1-CLICK OC - 8GB GDDR6,6,15400
ASUS PROART GEFORCE RTX 4060 TI OC EDITION 16GB GDDR6,6,19300
ASUS DUAL GEFORCE RTX 4060 TI OC EDITION 16GB GDDR6,6,18300
ASUS DUAL GEFORCE RTX 4060 WHITE OC EDITION 8GB GDDR6,6,12200
COLORFUL GEFORCE RTX 4070 NB EX-V -12GB GDDR6X,6,23980
MSI GEFORCE RTX 4060 VENTUS 2X WHITE 8G OC - 8GB GDDR6,6,11900
GIGABYTE GEFORCE RTX 4070 TI EAGLE OC 12G (REV. 2.0) - 12GB GDDR6X,6,30900
GIGABYTE GEFORCE RTX 4070 TI WINDFORCE OC 12G - 12GB GDDR6X,6,28900
GALAX GEFORCE RTX 4070 TI EX GAMER 1-CLICK OC V2 - 12GB GDDR6X,6,29900
GIGABYTE GEFORCE RTX 4070 TI AERO OC V2 12G - 12GB GDDR6X,6,33500
GIGABYTE GEFORCE RTX 4070 TI GAMING OC V2 12G - 12GB GDDR6X,6,30900
GIGABYTE GEFORCE RTX 4070 TI EAGLE 12G (REV. 1.0) - 12GB GDDR6X,6,29900
ZOTAC GAMING GEFORCE RTX 4060 8GB TWIN EDGE OC - 8GB GDDR6,6,11500
GALAX GEFORCE RTX 4060 1-CLICK OC - 8GB GDDR6,6,10500
MSI GEFORCE RTX 4070 VENTUS 3X E 12G OC - 12GB GDDR6X,6,22400
ASUS ROG MATRIX PLATINUM GEFORCE RTX 4090 24GB GDDR6X,6,127900
MSI GEFORCE RTX 4070 GAMING X SLIM 12G - 12GB GDDR6X,6,24400
MSI GEFORCE RTX 4060 GAMING X NV EDITION 8G - 8GB GDDR6,6,12600
ASUS PROART GEFORCE RTX 4060 OC EDITION 8GB GDDR6,6,14300
GALAX GEFORCE RTX 4070 SUPER 1-CLICK OC 2X - 12GB GDDR6X,6,24600
ZOTAC GAMING GEFORCE RTX 4070 SUPER TWIN EDGE OC 12GB GDDR6X,6,24200
GIGABYTE GEFORCE RTX 4070 SUPER AERO OC 12G - 12GB GDDR6X,6,26900
GIGABYTE GEFORCE RTX 4070 SUPER WINDFORCE OC 12G - 12GB GDDR6X,6,25600
ASUS DUAL GEFORCE RTX 4070 SUPER 12GB GDDR6X,6,25500
ASUS DUAL GEFORCE RTX 4070 SUPER OC EDITION 12GB GDDR6X,6,26700
ASUS DUAL GEFORCE RTX 4070 SUPER WHITE OC EDITION 12GB GDDR6X,6,26700
MSI GEFORCE RTX 4070 SUPER 12G GAMING X SLIM WHITE - 12GB GDDR6X,6,27200
MSI GEFORCE RTX 4070 SUPER 12G VENTUS 2X OC - 12GB GDDR6X,6,25200
INNO3D GEFORCE RTX 4070 SUPER TWIN X2 OC - 12GB GDDR6X,6,24600
ASUS TUF GAMING GEFORCE RTX 4070 TI SUPER 16GB GDDR6X OC EDITION,6,36900
GALAX GEFORCE RTX 4070 TI SUPER EX GAMER 1-CLICK OC - 16GB GDDR6X,6,34200
INNO3D GEFORCE RTX 4070 TI SUPER ICHILL X3 - 16GB GDDR6X ,6,33400
INNO3D GEFORCE RTX 4070 TI SUPER TWIN X2 OC - 16GB GDDR6X ,6,31400
INNO3D GEFORCE RTX 4070 TI SUPER TWIN X2 OC WHITE - 16GB GDDR6X,6,31800
GIGABYTE GEFORCE RTX 4070 TI SUPER AERO OC 16G - 16GB GDDR6X,6,34900
GIGABYTE AORUS GEFORCE RTX 4070 TI SUPER MASTER 16G - 16GB GDDR6X,6,35900
GIGABYTE GEFORCE RTX 4070 TI SUPER EAGLE OC 16G - 16GB GDDR6X,6,32800
INNO3D GEFORCE RTX 4070 Ti SUPER X3 OC - 16GB GDDR6X,6,32600
GIGABYTE GEFORCE RTX 4070 TI SUPER WINDFORCE OC 16G - 16GB GDDR6X,6,31900
MSI GEFORCE RTX 4070 TI SUPER 16G GAMING X SLIM WHITE - 16GB GDDR6X,6,35900
MSI GEFORCE RTX 4070 TI SUPER 16G VENTUS 2X OC - 16GB GDDR6X,6,33900
MSI GEFORCE RTX 4070 TI SUPER 16G VENTUS 3X OC - 16GB GDDR6X,6,34800
ZOTAC GAMING GEFORCE RTX 4070 TI SUPER TRINITY OC WHITE EDITION 16GB GDDR6X,6,33600
GIGABYTE GEFORCE RTX 4070 TI SUPER GAMING OC 16G - 16GB GDDR6X,6,34500
GIGABYTE GEFORCE RTX 4080 SUPER GAMING OC 16G - 16GB GDDR6X,6,42900
GIGABYTE GEFORCE RTX 4080 SUPER AERO OC 16G - 16GB GDDR6X,6,43200
ASUS PROART GEFORCE RTX 4080 SUPER 16GB GDDR6X OC EDITION,6,46900
SUS TUF GAMING GEFORCE RTX 4080 SUPER 16GB GDDR6X OC EDITION,6,46400
MSI GEFORCE RTX 4080 SUPER 16G VENTUS 3X OC - 16GB GDDR6X,6,42500
INNO3D GEFORCE RTX 4080 SUPER ICHILL X3 - 16GB GDDR6X,6,42900
INNO3D GEFORCE RTX 4080 SUPER X3 OC WHITE - 16GB GDDR6X,6,41400
GALAX GEFORCE RTX 4080 SUPER SG 1-CLICK OC - 16GB GDDR6X,6,42800
ZOTAC GAMING GEFORCE RTX 4080 SUPER TRINITY BLACK EDITION 16GB GDDR6X,6,40900
ZOTAC GAMING GEFORCE RTX 4080 SUPER TRINITY OC WHITE EDITION 16GB GDDR6X,6,41200
GALAX GEFORCE RTX 4060 1-CLICK OC 2X V2 - 8GB GDDR6,6,10900
MSI GEFORCE RTX 4090 VENTUS 3X E 24G OC - 24GB GDDR6X,6,73900
GALAX GEFORCE RTX 4070 TI SUPER EX GAMER WHITE 1-CLICK OC - 16GB GDDR6X,6,34900
ASUS ROG STRIX GEFORCE RTX 4070 SUPER 12GB GDDR6X OC EDITION,6,29900
GIGABYTE AORUS GEFORCE RTX 4070 SUPER MASTER 12G - 12GB GDDR6X,6,28400
INNO3D GEFORCE RTX 4080 SUPER ICHILL FROSTBITE - 16GB GDDR6X,6,48800
MSI GEFORCE RTX 4070 SUPER 12G GAMING X SLIM MLG - 12GB GDDR6X,6,27900
MSI GEFORCE RTX 4060 TI GAMING X SLIM WHITE 8G - 8GB GDDR6,6,17700
PNY GEFORCE RTX 4070 TI SUPER 16GB VERTO OVERCLOCKED TRIPLE FAN DLSS 3 - 16GB GDDR6X,6,32600
PNY GEFORCE RTX 4070 SUPER 12GB VERTO OVERCLOCKED DUAL FAN DLSS 3 - 12GB GDDR6X,6,24400
ZOTAC GAMING GEFORCE RTX 4080 SUPER AMP EXTREME AIRO 16GB GDDR6X,6,43500
MSI GEFORCE RTX 4080 SUPER 16G GAMING X SLIM - 16GB GDDR6X,6,43500
ASUS PROART GEFORCE RTX 4070 TI SUPER 16GB GDDR6X OC EDITION,6,35800
GIGABYTE GEFORCE RTX 4060 TI WINDFORCE OC 16G - 16GB GDDR6,6,17500
NVIDIA QUADRO RTX5000 16GB GDDR6,6,85000
NVIDIA QUADRO P6000 24 GB GDDR5X,6,145000
LEADTEK NVIDIA T1000 4GB GDDR6,6,12400
LEADTEK NVIDIA T400 4GB - 4GB GDDR6,6,5990
LEADTEK NVIDIA A2000 12GB - 12GB GDDR6,6,22800
LEADTEK NVIDIA A2000 - 6GB GDDR6,6,17400
LEADTEK NVIDIA RTX A4500 - 20GB GDDR6,6,69900
