Name,capacity,rgb,Price
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8 GAMING EPIC-X,16,TRUE,1850
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PNY XLR8,16,FALSE,1850
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL RGB DDR4,16,TRUE,1690
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL RGB DDR4,32,TRUE,2790
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) G.SKILL RIPJAWS V,32,FALSE,2890
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL DDR4,16,FALSE,1540
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL DDR4,32,FALSE,2490
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,TRUE,1990
32GB (16GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,TRUE,2990
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) APACER PANTHER DDR4,16,FALSE,1290
8GB (8GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KLEVV BOLT X GAMING OC MEMORY,8,FALSE,750
16GB (8GBx2) DDR4 3200MHz RAM (หน่วยความจำ) KLEVV CRAS X,16,FALSE,1790
16GB (16GBx1) DDR4 3200MHz RAM (หน่วยความจำ) KLEVV BOLT X GAMING OC MEMORY,16,FALSE,1350
4GB (4GBx1) DDR4 3200Mbps RAM PC (หน่วยความจำ) LEXAR UDIMM,4,FALSE,590
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z,32,TRUE,3690
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z NEO,16,FALSE,2590
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE,16,TRUE,2390
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE PRO SL,32,TRUE,3990
128GB (32GBx4) DDR4/3600 RAM PC (แรมพีซี) G.SKILL TRIDENT Z NEO,128,FALSE,16000
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z NEO,16,FALSE,2690
64GB (16GBx4) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB PRO SL,64,TRUE,10400
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL ELITE,32,FALSE,12600
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL ELITE,32,FALSE,5990
64GB (16GBx4) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL ELITE,64,FALSE,12900
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE LPX,32,FALSE,3590
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB RS,16,TRUE,2290
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB RS,32,TRUE,4490
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB RT,32,TRUE,3990
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z,16,TRUE,2390
32GB (16GBx2) DDR4/3600 RAM PC (แรมพีซี) G.SKILL TRIDENT Z NEO,32,FALSE,5990
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB PRO SL,32,FALSE,3990
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) ADATA SPECTRIX D45G,16,TRUE,2090
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) ADATA SPECTRIX D45G,32,FALSE,3550
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,FALSE,3290
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,32,TRUE,3490
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,TRUE,2390
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR4,16,FALSE,1990
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB PRO SL,16,FALSE,2490
32GB (2x16GB) RAM PC (หน่วยความจำ) ACER PREDATOR PALLAS DDR4 3600MHz CL16 DIMM,32,TRUE,5790
16GB (2x8GB) RAM PC (หน่วยความจำ) ACER PREDATOR TALOS DDR4 3600MHz CL16 DIMM,16,FALSE,3450
32GB (2x16GB) RAM PC (หน่วยความจำ) ACER PREDATOR TALOS DDR4 3600MHz CL16 DIMM,32,FALSE,6490
16GB (2x8GB) RAM PC (หน่วยความจำ) ACER PREDATOR APOLLO RGB DDR4 3600MHz CL14 DIMM,16,TRUE,4450
32GB (2x16GB) RAM PC (หน่วยความจำ) ACER PREDATOR APOLLO RGB DDR4 3600MHz CL14 DIMM,32,TRUE,9060
16GB (2x8GB) RAM PC (หน่วยความจำ) ACER PREDATOR VESTA RGB DDR4 3600MHz CL14 DIMM,16,TRUE,4700
32GB (2x16GB) RAM PC (หน่วยความจำ) ACER PREDATOR VESTA RGB DDR4 3600MHz CL14 DIMM,32,TRUE,9400
16GB (8GBx2) DDR4 3600MHz RAM (หน่วยความจำ) PNY XLR8,16,TRUE,2090
32GB (16GBx2) DDR4 3600MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z ROYAL ELITE,32,TRUE,5990
16GB (2x8GB) RAM PC (หน่วยความจำ) PATRIOT VIPER STEEL DDR4 4400MHz,16,FALSE,3590
16GB (8GBx2) DDR4 4400MHz RAM (หน่วยความจำ) PATRIOT VIPER STEEL,16,FALSE,3590
16GB (16GBx1) DDR5 4800MHz RAM (หน่วยความจำ) KINGSTON VALUERAM,16,FALSE,1990
16GB (16GBx1) DDR5 4800Mbps RAM PC (หน่วยความจำ) LEXAR ARES U-DIMM,16,FALSE,2990
32GB (16GBx2) DDR5 5200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR5,32,FALSE,3990
32GB (16GBx2) DDR5 5200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE DDR5,32,FALSE,3690
32GB (16GBx2) DDR5 5200MHz RAM (หน่วยความจำ) APACER NOX DDR5,32,FALSE,6990
16GB (8GBx2) DDR5 5200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR5,16,FALSE,2390
32GB (16GBx2) DDR5 5200MHz RAM (หน่วยความจำ) GIGABYTE AORUS MEMORY DDR5,32,FALSE,8190
16GB (8GBx2) DDR5 5200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR5,16,TRUE,2690
32GB (16GBx2) DDR5 5200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR5,32,TRUE,4490
32GB (16GBx2) DDR5 5200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR5,32,TRUE,5490
16GB (16GBx1) DDR5 5200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR5,16,TRUE,2790
32GB (16GBx2) DDR5 5200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR5,32,TRUE,4790
32GB (16GBx2) DDR5 5200MHz RAM (หน่วยความจำ) KINGSTON FURY BEAST DDR5,32,FALSE,4290
